Well,Aggregation,Halftime
B02,0,
B03,1,35.08930131
B04,1,29.64486082
B05,1,18.73602942
B06,1,19.95437746
B07,1,22.84028201
B08,1,27.72496755
B09,1,29.26282924
B10,1,28.34602449
B11,1,44.99078464
B12,1,44.85240145

C02,0,
C03,1,37.69911287
C04,1,21.31315469
C05,1,19.16692021
C06,1,19.68718033
C07,1,22.38977326
C08,1,25.80560308
C09,1,24.77514094
C10,1,30.27508543
C11,1,32.55109644
C12,1,41.72100920

D02,0,
D03,1,39.13415849
D04,1,20.63355649
D05,1,23.72120061
D06,1,22.23811500
D07,1,20.34852886
D08,1,24.12782434
D09,1,30.99428333
D10,1,30.67066331
D11,1,36.73778114
D12,1,35.62105154

E02,0,
E03,1,74.49355697
E04,1,75.24385051
E05,1,46.94444325
E06,1,39.54071003
E07,1,36.76174151
E08,1,40.73329287
E09,1,36.83010659
E10,1,38.16494264
E11,1,19.35629800
E12,1,35.76949342

F02,0,
F03,1,55.35497065
F04,1,73.27200199
F05,1,55.16592263
F06,1,55.06050294
F07,1,42.97617696
F08,1,41.70294794
F09,1,40.69646560
F10,1,41.10645146
F11,1,18.16930325
F12,1,39.53967070

G02,1,44.70819382
G03,1,68.35726642
G04,1,78.09951956
G05,1,61.68287644
G06,1,46.19639383
G07,1,29.87127508
G08,1,43.24361824
G09,1,41.67220555
G10,1,40.18835896
G11,1,83.02930109
G12,1,36.51181508